estimator,k_placements,mechanism,operating_point,target_r2,beta_true,n_subjects,rate,aur_lo,aur_hi,aur_median,dbeta_mean,dbeta_lo,dbeta_hi,n_sim
single_draw,1,pure_background,same_channel,0.31,0.5567764362830022,27,1024Hz,0.8525548869361512,1.1713457282832807,1.000890818460907,0.0004902727696134647,-0.08762246676241994,0.09074341762860501,4000
single_draw,1,stimulus_locked,same_channel,0.31,0.5567764362830022,27,1024Hz,0.3778920989424374,0.6313347419694088,0.49806186466043567,,,,4000
single_draw,1,dilution,same_channel,0.31,0.5567764362830022,27,1024Hz,1.593634419951423,2.605520480285358,1.9922319840049867,,,,4000
matched_contrast,1000,pure_background,same_channel,0.31,0.5567764362830022,27,1024Hz,0.8914296058687963,1.116961746617986,0.9936992263496153,0.0033663186617760585,-0.058327118275755985,0.06782945529220176,4000
matched_contrast,1000,stimulus_locked,same_channel,0.31,0.5567764362830022,27,1024Hz,0.4442300178206239,0.5540403454297603,0.497474656444503,,,,4000
matched_contrast,1000,dilution,same_channel,0.31,0.5567764362830022,27,1024Hz,1.6234721017636444,2.544763525009829,1.9939982896495558,,,,4000
single_draw,1,pure_background,same_channel,0.31,0.5567764362830022,27,500Hz,0.8534653950356514,1.1766461630517755,1.0015037930909727,-0.00014259938014881532,-0.08970792259614066,0.08892738673443523,4000
single_draw,1,stimulus_locked,same_channel,0.31,0.5567764362830022,27,500Hz,0.3756702885096852,0.6370357399036665,0.49830930858430805,,,,4000
single_draw,1,dilution,same_channel,0.31,0.5567764362830022,27,500Hz,1.5799686850746775,2.594515804697544,2.008424744652597,,,,4000
matched_contrast,1000,pure_background,same_channel,0.31,0.5567764362830022,27,500Hz,0.8989725453668014,1.121759555982778,1.0017371318553416,-0.0007404763962107006,-0.0604453438121122,0.06265687777097702,4000
matched_contrast,1000,stimulus_locked,same_channel,0.31,0.5567764362830022,27,500Hz,0.4487150686114982,0.5615831117839925,0.5008325025688369,,,,4000
matched_contrast,1000,dilution,same_channel,0.31,0.5567764362830022,27,500Hz,1.625579334485207,2.6324820133611557,2.009028273595419,,,,4000
single_draw,1,pure_background,same_channel,0.31,0.5567764362830022,28,1024Hz,0.8567769340027752,1.1721646389156657,0.9988357190507507,3.6877613575217686e-05,-0.089686398663879,0.08725481304343985,4000
single_draw,1,stimulus_locked,same_channel,0.31,0.5567764362830022,28,1024Hz,0.38260075296523743,0.6293962844456789,0.4994584935318863,,,,4000
single_draw,1,dilution,same_channel,0.31,0.5567764362830022,28,1024Hz,1.5870911033744939,2.606133810284223,2.0085793651799673,,,,4000
