estimator,operating_point,target_r2,n_subjects,rate,true_increment,power,n_sim
matched_contrast,same_channel,0.31,27,1024Hz,0.02,0.128,1000
matched_contrast,same_channel,0.31,27,1024Hz,0.05,0.396,1000
matched_contrast,same_channel,0.31,27,1024Hz,0.1,0.882,1000
matched_contrast,same_channel,0.31,27,1024Hz,0.15,0.997,1000
matched_contrast,same_channel,0.31,27,1024Hz,0.2,1.0,1000
matched_contrast,same_channel,0.31,27,500Hz,0.02,0.101,1000
matched_contrast,same_channel,0.31,27,500Hz,0.05,0.364,1000
matched_contrast,same_channel,0.31,27,500Hz,0.1,0.893,1000
matched_contrast,same_channel,0.31,27,500Hz,0.15,0.992,1000
matched_contrast,same_channel,0.31,27,500Hz,0.2,1.0,1000
matched_contrast,same_channel,0.31,28,1024Hz,0.02,0.119,1000
matched_contrast,same_channel,0.31,28,1024Hz,0.05,0.394,1000
matched_contrast,same_channel,0.31,28,1024Hz,0.1,0.896,1000
matched_contrast,same_channel,0.31,28,1024Hz,0.15,0.998,1000
matched_contrast,same_channel,0.31,28,1024Hz,0.2,1.0,1000
matched_contrast,same_channel,0.31,28,500Hz,0.02,0.095,1000
matched_contrast,same_channel,0.31,28,500Hz,0.05,0.372,1000
matched_contrast,same_channel,0.31,28,500Hz,0.1,0.893,1000
matched_contrast,same_channel,0.31,28,500Hz,0.15,0.999,1000
matched_contrast,same_channel,0.31,28,500Hz,0.2,1.0,1000
matched_contrast,same_channel,0.31,84,1024Hz,0.02,0.25,1000
matched_contrast,same_channel,0.31,84,1024Hz,0.05,0.825,1000
matched_contrast,same_channel,0.31,84,1024Hz,0.1,1.0,1000
matched_contrast,same_channel,0.31,84,1024Hz,0.15,1.0,1000
matched_contrast,same_channel,0.31,84,1024Hz,0.2,1.0,1000
matched_contrast,same_channel,0.31,84,500Hz,0.02,0.187,1000
matched_contrast,same_channel,0.31,84,500Hz,0.05,0.78,1000
matched_contrast,same_channel,0.31,84,500Hz,0.1,1.0,1000
matched_contrast,same_channel,0.31,84,500Hz,0.15,1.0,1000
matched_contrast,same_channel,0.31,84,500Hz,0.2,1.0,1000
matched_contrast,same_channel,0.31,90,1024Hz,0.02,0.283,1000
matched_contrast,same_channel,0.31,90,1024Hz,0.05,0.884,1000
matched_contrast,same_channel,0.31,90,1024Hz,0.1,1.0,1000
matched_contrast,same_channel,0.31,90,1024Hz,0.15,1.0,1000
matched_contrast,same_channel,0.31,90,1024Hz,0.2,1.0,1000
matched_contrast,same_channel,0.31,90,500Hz,0.02,0.184,1000
matched_contrast,same_channel,0.31,90,500Hz,0.05,0.806,1000
matched_contrast,same_channel,0.31,90,500Hz,0.1,1.0,1000
matched_contrast,same_channel,0.31,90,500Hz,0.15,1.0,1000
matched_contrast,same_channel,0.31,90,500Hz,0.2,1.0,1000
matched_contrast,small_effect,0.01,27,1024Hz,0.02,0.093,1000
matched_contrast,small_effect,0.01,27,1024Hz,0.05,0.378,1000
matched_contrast,small_effect,0.01,27,1024Hz,0.1,0.889,1000
matched_contrast,small_effect,0.01,27,1024Hz,0.15,0.998,1000
matched_contrast,small_effect,0.01,27,1024Hz,0.2,1.0,1000
matched_contrast,small_effect,0.01,27,500Hz,0.02,0.092,1000
matched_contrast,small_effect,0.01,27,500Hz,0.05,0.356,1000
matched_contrast,small_effect,0.01,27,500Hz,0.1,0.862,1000
matched_contrast,small_effect,0.01,27,500Hz,0.15,0.998,1000
matched_contrast,small_effect,0.01,27,500Hz,0.2,1.0,1000
matched_contrast,small_effect,0.01,28,1024Hz,0.02,0.1,1000
matched_contrast,small_effect,0.01,28,1024Hz,0.05,0.388,1000
matched_contrast,small_effect,0.01,28,1024Hz,0.1,0.892,1000
matched_contrast,small_effect,0.01,28,1024Hz,0.15,0.998,1000
matched_contrast,small_effect,0.01,28,1024Hz,0.2,1.0,1000
matched_contrast,small_effect,0.01,28,500Hz,0.02,0.106,1000
matched_contrast,small_effect,0.01,28,500Hz,0.05,0.354,1000
matched_contrast,small_effect,0.01,28,500Hz,0.1,0.885,1000
matched_contrast,small_effect,0.01,28,500Hz,0.15,0.997,1000
matched_contrast,small_effect,0.01,28,500Hz,0.2,1.0,1000
matched_contrast,small_effect,0.01,84,1024Hz,0.02,0.208,1000
matched_contrast,small_effect,0.01,84,1024Hz,0.05,0.789,1000
matched_contrast,small_effect,0.01,84,1024Hz,0.1,1.0,1000
matched_contrast,small_effect,0.01,84,1024Hz,0.15,1.0,1000
matched_contrast,small_effect,0.01,84,1024Hz,0.2,1.0,1000
matched_contrast,small_effect,0.01,84,500Hz,0.02,0.189,1000
matched_contrast,small_effect,0.01,84,500Hz,0.05,0.772,1000
matched_contrast,small_effect,0.01,84,500Hz,0.1,0.999,1000
matched_contrast,small_effect,0.01,84,500Hz,0.15,1.0,1000
matched_contrast,small_effect,0.01,84,500Hz,0.2,1.0,1000
matched_contrast,small_effect,0.01,90,1024Hz,0.02,0.226,1000
matched_contrast,small_effect,0.01,90,1024Hz,0.05,0.816,1000
matched_contrast,small_effect,0.01,90,1024Hz,0.1,1.0,1000
matched_contrast,small_effect,0.01,90,1024Hz,0.15,1.0,1000
matched_contrast,small_effect,0.01,90,1024Hz,0.2,1.0,1000
matched_contrast,small_effect,0.01,90,500Hz,0.02,0.197,1000
matched_contrast,small_effect,0.01,90,500Hz,0.05,0.801,1000
matched_contrast,small_effect,0.01,90,500Hz,0.1,1.0,1000
matched_contrast,small_effect,0.01,90,500Hz,0.15,1.0,1000
matched_contrast,small_effect,0.01,90,500Hz,0.2,1.0,1000
