dataset,measure_a,measure_b,r_same_trials,r_disjoint_a_odd,r_disjoint_b_odd,r_disjoint_mean
primary,permutation_entropy,sample_entropy,0.6713668126408732,0.2210100802305761,0.09317032734919531,0.1570902037898857
primary,permutation_entropy,lempel_ziv,0.5063449072674192,0.1452678198090717,0.05496188707699565,0.10011485344303367
primary,permutation_entropy,hjorth_mobility,0.6908690161437777,-0.014002088979958145,-0.1842403271469265,-0.09912120806344232
primary,permutation_entropy,hjorth_complexity,-0.3734154499030909,-0.03672202539080969,0.15159358644127632,0.05743578052523332
primary,sample_entropy,lempel_ziv,0.550349182219554,-0.006929005098833803,0.040546984556890375,0.016808989729028286
primary,sample_entropy,hjorth_mobility,0.8742073582132671,0.12792427392016048,-0.15498223877943243,-0.013528982429635975
primary,sample_entropy,hjorth_complexity,-0.43273801021473585,-0.07712830332409747,0.14901690701665055,0.03594430184627654
primary,lempel_ziv,hjorth_mobility,0.4868028601490061,-0.00397894207411402,-0.3169877298631865,-0.16048333596865028
primary,lempel_ziv,hjorth_complexity,0.05021429381094387,0.3437809384370556,0.38765467816918,0.3657178083031178
primary,hjorth_mobility,hjorth_complexity,-0.5693887904781111,0.3053165919342822,0.3089215254705809,0.3071190587024315
independent,permutation_entropy,sample_entropy,0.40311815423962427,-0.03182577550281084,-0.20353752746864312,-0.11768165148572698
independent,permutation_entropy,lempel_ziv,0.1746157749761589,-0.12133663525313212,0.008616339699721691,-0.05636014777670521
independent,permutation_entropy,hjorth_mobility,0.49360842156681933,-0.1914550396361844,-0.08287368123653858,-0.1371643604363615
independent,permutation_entropy,hjorth_complexity,-0.08016306695026901,0.08833319867669989,0.08721696972313793,0.08777508419991892
independent,sample_entropy,lempel_ziv,0.335860746474186,-0.3137447807543523,-0.2007412489622716,-0.25724301485831197
independent,sample_entropy,hjorth_mobility,0.5528681709683615,-0.461419678784876,0.0152500758721354,-0.2230848014563703
independent,sample_entropy,hjorth_complexity,-0.27149403500574115,0.1568783614005816,0.11430654242728454,0.13559245191393307
independent,lempel_ziv,hjorth_mobility,0.31609212730199454,-0.2532942705362318,-0.12516162366672803,-0.18922794710147994
independent,lempel_ziv,hjorth_complexity,-0.24846567094588604,0.13726771787965814,0.09284935027669874,0.11505853407817844
independent,hjorth_mobility,hjorth_complexity,-0.6934232275533526,-0.03688173758393761,0.15147302518511868,0.05729564380059053
