model,predictor,beta,SE,z,p,CI_low,CI_high,R2_marginal,R2_conditional,n_trials,n_subjects,fit_method,note
M1_RMS_Fz_0_150,rms_early_fz_z,-0.07250782343971737,0.026721098804227166,-2.713504559484917,0.006657565205571148,-0.12488117709600262,-0.020134469783432127,0.006831662584640492,0.006831700471004457,1084,27,REML_nm,REML_lbfgs: non-finite loglik
M2_mean_Fz_only,mean_early_fz_z,0.10609337998795385,0.02841778800323358,3.733344058161099,0.0001889542000568234,0.05039451550161603,0.16179224447429166,0.012798321902636196,0.012798359561390181,1084,27,REML_nm,REML_lbfgs: non-finite loglik
M3_SD_Fz_only,sd_early_fz_z,-0.03926322711044713,0.028130568431232298,-1.3957495102322448,0.1627899393681802,-0.09439914123566243,0.015872687014768176,0.0018730338834850961,0.0018730719590057277,1084,27,REML_nm,REML_lbfgs: non-finite loglik
M4a_competitive_Fz_mean,mean_early_fz_z,0.10513805421668837,0.02841648013324195,3.6998971626220722,0.0002156868501566045,0.04944175315553415,0.1608343552778426,0.014342844439367761,0.01434288203920289,1084,27,REML_nm,REML_lbfgs: non-finite loglik
M4b_competitive_Fz_SD,sd_early_fz_z,-0.03659809161154037,0.02797615820488873,-1.308188613443893,0.19080934320585397,-0.09143136169312227,0.01823517847004153,0.014342844439367761,0.01434288203920289,1084,27,REML_nm,REML_lbfgs: non-finite loglik
M5_RMS_Fz_0_200,rms_early_fz_200_z,-0.03325449899193419,0.026542378288510367,-1.2528831678331311,0.2102482284494922,-0.0852775604374145,0.018768562453546127,0.0015251962273021924,0.0015252343160917772,1084,27,REML_nm,REML_lbfgs: non-finite loglik
M6_RMS_Fz_0_250,rms_early_fz_250_z,-0.053688183464358136,0.02553271577285938,-2.1027212280108207,0.03549014530646555,-0.10373230637916253,-0.0036440605495537473,0.004141792253208591,0.004141830242182963,1084,27,REML_nm,REML_lbfgs: non-finite loglik
M5m_mean_Fz_0_200,mean_early_fz_200_z,0.12847521918541868,0.027962185509001765,4.594605780869994,4.335681460077012e-06,0.07366933558777522,0.18328110278306214,0.019277165177347965,0.019277165177347965,1084,27,REML_lbfgs,
M6m_mean_Fz_0_250,mean_early_fz_250_z,0.14789147236632155,0.027654673956541212,5.347793020403356,8.903319748121419e-08,0.09368831141150077,0.20209463332114233,0.02578438418494941,0.02578442134832445,1084,27,REML_nm,REML_lbfgs: non-finite loglik
M7_baseline_Fz_RMS,rms_base_fz_z,0.010377522335627517,0.02837117347560865,0.3657769864383407,0.7145314937945841,-0.04522997767656543,0.06598502234782047,0.00022339098595419843,0.00022339098595419843,1084,27,REML_lbfgs,
M7m_baseline_Fz_mean,mean_base_fz_z,0.037387258462711126,0.029905414794247822,1.2501835777881403,0.21123249439757186,-0.021227354534014607,0.09600187145943687,0.0015188985753503937,0.0015189366643802147,1084,27,REML_nm,REML_lbfgs: non-finite loglik
M8_RMS_Pz_0_150,rms_early_pz_z,-0.13881773459327393,0.028949891405627686,-4.79510381052029,1.6259061019763266e-06,-0.19555952174830418,-0.08207594743824367,0.020851168679303343,0.02085120603086561,1084,27,REML_nm,REML_lbfgs: non-finite loglik
M9a_competitive_Pz_mean,mean_early_pz_z,0.5687666794456608,0.02586660726618486,21.988453050400757,0.0,0.5180681292039385,0.6194652296873832,0.31045086869395366,0.31156531016497113,1084,27,REML_nm,REML_lbfgs: non-finite loglik
M9b_competitive_Pz_SD,sd_early_pz_z,-0.020868173626406025,0.023656705289740235,-0.8821251045240193,0.377709157695878,-0.06723531599429688,0.02549896874148484,0.31045086869395366,0.31156531016497113,1084,27,REML_nm,REML_lbfgs: non-finite loglik
M10_baseline_Pz_RMS,rms_base_pz_z,-0.03576018318978968,0.028286452678803146,-1.2642158985381393,0.20615254595030041,-0.09120163044024385,0.019681264060664484,0.0015557221784902437,0.0015557602661153559,1084,27,REML_nm,REML_lbfgs: non-finite loglik
M11_Pz_RMS_with_baseline_cov,rms_early_pz_z,-0.13772321413147837,0.029794612774460317,-4.622420005053179,3.7928909306650382e-06,-0.1961206551694206,-0.07932577309353614,0.020854374280428602,0.020854411631868585,1084,27,REML_nm,REML_lbfgs: non-finite loglik
M12_Pz_mean_with_baseline_cov,mean_early_pz_z,0.5714370997799948,0.027120173346012504,21.070554840830823,0.0,0.5182815600218103,0.6245926395381793,0.3099697655047003,0.3110315869789459,1084,27,REML_nm,REML_lbfgs: non-finite loglik
