beta,SE,z,p,R2_marginal,n_trials,n_subjects,model,config
-0.06761748095074784,0.08261942367241894,-0.818421116308522,0.4131167682235357,0.004202690324120706,157,11,M1_RMS_Fz,config1
0.22842192774734363,0.07240068957857242,3.154968952325379,0.0016051518590032288,0.06020292350607822,157,11,M4a_Fz_mean,config1
0.4875365863093029,0.060935044552606364,8.00092278407056,1.3322676295501878e-15,0.29829247931231323,157,11,M9a_Pz_mean,config1
0.5202753750276052,0.06444228343083819,8.073509306757941,6.661338147750939e-16,0.30630515892919313,157,11,M12_Pz_mean_with_baseline,config1
-0.05115159602001404,0.050065994024227366,-1.0216834203923195,0.3069307606519418,0.0022830745452649868,455,16,M1_RMS_Fz,config2
0.1465067006161407,0.05391515041745002,2.7173568001161095,0.006580562470625884,0.02112098231839734,455,16,M4a_Fz_mean,config2
0.5812309535968825,0.04364105885756091,13.318442971192551,0.0,0.2786631693361325,455,16,M9a_Pz_mean,config2
0.6090370088484285,0.045260832170813975,13.456160208233209,0.0,0.28574300161834015,455,16,M12_Pz_mean_with_baseline,config2
0.12254790629198428,0.053887050435539104,2.2741624435091103,0.022956221409612176,0.011990307899515341,426,20,M1_RMS_Fz,config3
0.19266440476879904,0.05497214533952057,3.5047641597186994,0.00045701193206526547,0.02900558734109592,426,20,M4a_Fz_mean,config3
0.6267311716696778,0.04606072589362921,13.606628195939109,0.0,0.30274788242867573,426,20,M9a_Pz_mean,config3
0.6065349939386797,0.048140428864471146,12.599285221289707,0.0,0.30586146201566705,426,20,M12_Pz_mean_with_baseline,config3
0.02179541066842117,0.028103447925367116,0.7755422297755821,0.43801932185740355,0.0006295201430643403,952,27,M1_RMS_Fz,config4
0.10776030482976748,0.032737451345323784,3.2916522331894953,0.0009960069380423597,0.01117971493937522,952,27,M4a_Fz_mean,config4
0.503087803257869,0.030081928929606642,16.723921010355483,0.0,0.22901786955330197,952,27,M9a_Pz_mean,config4
0.5311669728806099,0.03149612950420607,16.864515775174105,0.0,0.23811429313939267,952,27,M12_Pz_mean_with_baseline,config4
