model,family,structure,ll,aic,bic
M1,cross-channel energy,null,-1607.547472274303,3223.094944548606,3243.048597276604
M1,cross-channel energy,RI,-1603.8648004921824,3217.729600984365,3242.6716668943627
M1,cross-channel energy,RIS,-1628.799812670958,3271.599625341916,3306.5185176159134
M4a,cross-channel mean (competitive),null,-1607.547472274303,3223.094944548606,3243.048597276604
M4a,cross-channel mean (competitive),RI,-1599.7807617987937,3211.5615235975874,3241.492002689585
M4a,cross-channel mean (competitive),RIS,-1620.179355920045,3256.35871184009,3296.266017296087
M9a,same-channel mean (largest effect),null,-1607.547472274303,3223.094944548606,3243.048597276604
M9a,same-channel mean (largest effect),RI,-1405.6863991479568,2823.3727982959135,2853.3032773879113
M9a,same-channel mean (largest effect),RIS,-1419.813509305507,2855.627018611014,2895.534324067011
M12,same-channel + baseline covariate,null,-1607.547472274303,3223.094944548606,3243.048597276604
M12,same-channel + baseline covariate,RI,-1406.0582885341528,2824.1165770683056,2854.0470561603033
M12,same-channel + baseline covariate,RIS,-1420.5540494389334,2857.1080988778667,2897.0154043338634
M13,permutation entropy,null,-1607.6087000737862,3221.2174001475723,3236.182639693571
M13,permutation entropy,RI,-1601.8654841693124,3211.7309683386247,3231.684621066623
M13,permutation entropy,RIS,-1622.3375418496553,3256.6750836993106,3286.6055627913083
M15,Lempel-Ziv complexity,null,-1607.6087000737862,3221.2174001475723,3236.182639693571
M15,Lempel-Ziv complexity,RI,-1601.0334080033972,3210.0668160067944,3230.0204687347928
M15,Lempel-Ziv complexity,RIS,-1616.84626675243,3245.69253350486,3275.6230125968577
