channel,beta,SE,z,p,R2_marginal,n_trials,n_subjects
Pz,-0.13881773459327387,0.028949891405627683,-4.795103810520289,1.6259061019763266e-06,0.02085116867930332,1084,27
FCz,-0.09464897827247448,0.028414675910724246,-3.330989189172914,0.0008653796315323259,0.010211419807173053,1084,27
C5,-0.08608475419473928,0.027467164592247215,-3.134096856107137,0.0017238394573915183,0.00907531811769497,1084,27
C3,-0.08406157684775364,0.02771668763577663,-3.032886828051097,0.002422264232820659,0.008494876474269024,1084,27
CPz,-0.08019061091540912,0.026848446260863766,-2.9867877692535507,0.002819253642494468,0.008241098658427438,1084,27
C4,-0.0801356678339459,0.025741109435713325,-3.1131396272596294,0.0018510842016066231,0.008942616505360565,1084,27
FP1,-0.07594506818644121,0.02697773618093142,-2.815101596260742,0.004876181574896332,0.007336776124388646,1084,27
FP2,-0.0741224259961179,0.026092181630209127,-2.840790664675586,0.004500184183390932,0.007470025251719211,1084,27
Cz,-0.07373090702410515,0.02648903825779008,-2.7834497540665466,0.0053784192423866894,0.007179927501778545,1084,27
Fz,-0.07250782343971739,0.026721098804227163,-2.7135045594849174,0.006657565205571148,0.006831662584640498,1084,27
C6,-0.06862890668437246,0.02699404978251834,-2.542371642539436,0.01101030332698305,0.0060116513246132736,1084,27
F4,-0.0611566124430773,0.027700009300626913,-2.2078192024900583,0.02725687892547546,0.004573736297999751,1084,27
F3,-0.06042646532581848,0.02664202725284036,-2.2680881132788535,0.02332383671909044,0.004832562786314202,1084,27
F8,-0.05894972938208885,0.028813899867402046,-2.045878192586499,0.04076835640069554,0.003928907455287954,1084,27
FC4,-0.051948656596196886,0.025941599078770358,-2.002523300065559,0.04522847973625699,0.0037791529846185512,1084,27
P3,-0.04803942955138432,0.023140106290057944,-2.076024584728216,0.03789167726626341,0.004040141432514643,1084,27
FC3,-0.03822194396229669,0.0244238320951262,-1.5649445923731156,0.11759590160864586,0.0023577069794739457,1084,27
F7,-0.03645347238269953,0.026022602141745704,-1.4008388624679668,0.1612622644430175,0.0018898538155988887,1084,27
PO4,0.0349735043799694,0.02634606279057889,1.3274660680029808,0.18435455728282846,0.0017040093156054767,1084,27
P4,-0.03267230869795594,0.02662817865966319,-1.2269824803094211,0.21982917582618056,0.001483180829868452,1084,27
P10,-0.02835947479875442,0.025794727456110483,-1.0994291312830435,0.27158092997686833,0.0011931692784071602,1084,27
P8,-0.02506702810430615,0.028333749246474794,-0.8847056521270272,0.3763154064547263,0.0008093078525944537,1084,27
Oz,0.02324276809827144,0.027427253404095433,0.8474333086083214,0.3967536452743894,0.0007412773066320313,1084,27
PO8,0.021242400474826145,0.02607884259280696,0.8145453694591953,0.4153325922943356,0.0007218413448925184,1084,27
O1,0.014940287590012924,0.024928793734997796,0.5993185129145698,0.5489605048591064,0.00041241780163665196,1084,27
P9,-0.011345620345369069,0.027734146709522636,-0.4090848896199681,0.6824773648123574,0.0002336382295978714,1084,27
PO3,0.0071087832183017756,0.027331523855926295,0.26009465318416114,0.7947907621770469,0.0001418354627155067,1084,27
PO7,0.005414967068309926,0.023867002397470447,0.2268809035224228,0.8205163516532106,0.00012685078253041806,1084,27
O2,0.003315620334175386,0.027436315696436793,0.12084787078776733,0.9038115325240841,9.27286647519331e-05,1084,27
P7,0.0006453321012491508,0.02511907527612527,0.0256909179241369,0.9795038679142745,7.985313123940364e-05,1084,27
