dataset,config,model,n_subjects_processed,n_used,n_dropped,draws_min,draws_median,beta_real,beta_pseudo_mean,beta_pseudo_sd,dbeta,bca_lo,bca_hi,surrogate_p
erp_core,config4,M1_RMS_Fz_0_150,33,28,5,594,1000,-0.08173981788840431,-0.038523345147768194,0.04859734503915745,-0.04313247169885468,-0.10385525759440789,0.011439890415117199,0.18140929535232383
erp_core,config4,M4a_mean_Fz,33,28,5,594,1000,0.14160312852224996,0.193428202635798,0.05246883440139927,-0.05161225668742442,-0.11614066426497123,0.024402084275989482,0.848575712143928
erp_core,config4,M8_RMS_Pz_0_150,33,28,5,594,1000,-0.09566841413946746,0.0068301071044189485,0.05880824417160995,-0.10297318656174344,-0.16783806309669436,-0.02166935162868862,0.0399800099950025
erp_core,config4,M9a_mean_Pz,33,28,5,594,1000,0.6055799445929504,0.5986441481661683,0.05345295668933414,0.007084530741741959,-0.039418675092819724,0.059276921216218914,0.42278860569715143
erp_core,config4,M13_PE_Fz_0_150,33,28,5,594,1000,0.07179186696207021,0.014882978067883232,0.04987765316174674,0.0569942603246978,-0.022481746251054754,0.11610274267331361,0.12743628185907047
erp_core,config4,M14_SE_Fz_0_150,33,28,5,594,1000,0.05776854114004813,0.012394830325766193,0.05254125048618534,0.045305700814340315,-0.03170576394648075,0.10841337566554637,0.1904047976011994
erp_core,config4,M15_LZ_Fz_0_150,33,28,5,594,1000,0.13733401615424087,0.037264644550537414,0.5364804275342374,0.11228974748640595,-0.4992777820570882,1.0030380670084698,0.3523238380809595
erp_core,config4,M22_HJORTHMOB_Fz_0_150,33,28,5,594,1000,0.06536324613973107,0.020578720321021066,0.050242800256365475,0.045320470210764956,-0.02974055236950818,0.1019231137988879,0.1729135432283858
erp_core,config4,M23_HJORTHCPLX_Fz_0_150,33,28,5,594,1000,-0.0112560874989634,-1.7737134866996128e-05,0.04194242009793164,-0.011236444685105833,-0.0578794337718169,0.0309484314361178,0.408295852073963
ds006018,config4,M1_RMS_Fz_0_150,90,84,6,202,1000,0.05490794006201225,0.020431935243095955,0.026776165040617108,0.03447168626184757,-0.006359622212405233,0.07479267812565507,0.09195402298850575
ds006018,config4,M4a_mean_Fz,90,84,6,202,1000,0.015213224461578504,-0.05660948679893613,0.028283357158393134,0.07139422391286089,0.02720501198840606,0.12452990508691988,0.0069965017491254375
ds006018,config4,M8_RMS_Pz_0_150,90,84,6,202,1000,0.17072157284373454,0.03654691780267717,0.02994820790672648,0.13408605161874285,0.07841350141392435,0.18969551038806914,0.0004997501249375312
ds006018,config4,M9a_mean_Pz,90,84,6,202,1000,0.48986306006665936,0.552204677130933,0.028229723011623464,-0.061765190332781404,-0.10520326283740661,-0.0160634887410925,0.9895052473763118
ds006018,config4,M13_PE_Fz_0_150,90,84,6,202,1000,0.012837217669753962,-0.01270295247155271,0.028447895851499864,0.02426980572550937,-0.02442565324055081,0.07412515399941015,0.18190904547726136
ds006018,config4,M14_SE_Fz_0_150,90,84,6,202,1000,-0.012478418622559136,-0.011587538388008653,0.02849322089053838,-0.00033401398225980136,-0.03701004737078116,0.03571495511576974,0.4847576211894053
ds006018,config4,M15_LZ_Fz_0_150,90,84,6,202,1000,-0.0006505982744388499,-0.014105474270178487,0.11368948127299806,0.01395926857089803,-0.036680271852028656,0.06728505399956042,0.5622188905547226
ds006018,config4,M22_HJORTHMOB_Fz_0_150,90,84,6,202,1000,0.011668225761310306,-0.010705843272981793,0.02915497505437387,0.02247454011928402,-0.01684400598723337,0.06269185916475228,0.21689155422288856
ds006018,config4,M23_HJORTHCPLX_Fz_0_150,90,84,6,202,1000,-0.02272430327846016,-0.00356233188562086,0.02388240826146431,-0.020227569331394905,-0.05627282556283922,0.014695782174431729,0.22338830584707647
