dataset,config,model,marginal_r2,lmm_beta,n_subjects,n_trials
erp_core,config4,M1_RMS_Fz_0_150,0.008224233295635116,-0.08618770221141393,33,1625
erp_core,config4,M4a_mean_Fz,0.02948684800662545,0.1777824048328631,33,1625
erp_core,config4,M8_RMS_Pz_0_150,0.019909563011617074,-0.12514316537732637,33,1625
erp_core,config4,M9a_mean_Pz,0.3002264135092796,0.5913527708122891,33,1625
erp_core,config4,M13_PE_Fz_0_150,0.012419053973592033,0.12615618006599513,33,1625
erp_core,config4,M14_SE_Fz_0_150,0.001956465106473045,0.04864249197888167,33,1625
erp_core,config4,M15_LZ_Fz_0_150,0.0017951983579421998,0.05940262716690947,33,1625
erp_core,config4,M22_HJORTHMOB_Fz_0_150,0.007030051560485239,0.08479615183645942,33,1625
erp_core,config4,M23_HJORTHCPLX_Fz_0_150,0.0002526509447954893,-0.012765369639571185,33,1625
ds006018,config4,M1_RMS_Fz_0_150,0.00737891691799584,0.07883483875857407,90,3130
ds006018,config4,M4a_mean_Fz,0.000567614333179464,0.02440330714981801,90,3130
ds006018,config4,M8_RMS_Pz_0_150,0.03715202386482849,0.17408003710044392,90,3130
ds006018,config4,M9a_mean_Pz,0.24347024802522516,0.4959270496930371,90,3130
ds006018,config4,M13_PE_Fz_0_150,0.0001598462029717933,0.013168348983827061,90,3130
ds006018,config4,M14_SE_Fz_0_150,0.00010565311142850274,-0.010177086656407772,90,3130
ds006018,config4,M15_LZ_Fz_0_150,8.096170491048134e-05,-0.011395201812540069,90,3130
ds006018,config4,M22_HJORTHMOB_Fz_0_150,0.00010014980708906316,0.010521819108869263,90,3130
ds006018,config4,M23_HJORTHCPLX_Fz_0_150,0.0005720198370198351,-0.019702591289455607,90,3130
