dataset,measure,n_subjects,slope_mean,slope_sd,odd_even_r,spearman_brown,reportable,sb_defined
primary,permutation_entropy,27,0.09231460040484543,0.1514112959062559,-0.06054756925201061,-0.12889970214628707,0.0,False
primary,sample_entropy,27,0.044236442698564325,0.19685817649165507,0.021765235900249397,0.042603203036307345,0.042603203036307345,True
primary,lempel_ziv,27,0.11779850274087975,0.23912755763777474,0.11980851270783173,0.21398035708465965,0.21398035708465965,True
primary,hjorth_mobility,27,0.06498118815378741,0.16723039056514352,-0.2954598770395976,-0.838731159264874,0.0,False
primary,hjorth_complexity,27,-0.03961226514692517,0.11989803060659113,-0.16252408535160387,-0.38812838079012124,0.0,False
independent,permutation_entropy,90,0.01840036301299388,0.23467305830354152,0.050852292493190614,0.09678295009956431,0.09678295009956431,True
independent,sample_entropy,90,0.001233332682177977,0.18571580279109198,-0.32041877776912764,-0.9429889093088349,0.0,False
independent,lempel_ziv,90,-0.00035561054961638145,0.24750135579876745,-0.4210562756759142,-1.454567198798106,0.0,False
independent,hjorth_mobility,90,0.023475358070629688,0.21206571843451993,-0.1136909417164636,-0.2565492040364391,0.0,False
independent,hjorth_complexity,90,-0.026403849270460196,0.17904545652204504,-0.02675576186213054,-0.05498262576580562,0.0,False
