n_target,n_standard,target_accuracy,target_median_rt,standard_accuracy,standard_median_rt,overall_accuracy,overall_median_rt,subject
40,160,0.875,0.568799999999996,1.0,0.4550999999999963,0.975,0.47169999999999845,sub-001
40,160,0.975,0.5229499999999803,0.99375,0.4360499999999945,0.99,0.4609500000000111,sub-002
40,160,0.825,0.41450000000000387,0.9433962264150944,0.4257999999999953,0.9195979899497487,0.4218999999999937,sub-003
40,160,0.75,0.31840000000000046,1.0,0.29245000000003074,0.95,0.29349999999999454,sub-004
40,160,0.95,0.6147000000000133,0.9875,0.5928000000000111,0.98,0.5971500000000098,sub-005
40,160,0.125,0.25490000000002055,0.93125,0.2622000000000053,0.77,0.2612499999999951,sub-006
40,160,0.85,0.356950000000003,1.0,0.32319999999999993,0.97,0.3260999999999967,sub-007
40,160,0.8717948717948718,0.3906000000000063,0.8581081081081081,0.3330000000000126,0.8609625668449198,0.3369000000000142,sub-008
40,160,0.8,0.4771000000000001,0.95625,0.4575499999999977,0.925,0.46869999999999123,sub-009
40,160,0.2,0.27439999999997156,0.9625,0.27149999999999963,0.81,0.2715000000000032,sub-010
40,160,0.975,0.41260000000001185,1.0,0.3798499999999976,0.995,0.3856999999999928,sub-011
40,160,0.75,0.33884999999999366,0.98125,0.33495000000000275,0.935,0.3364000000000047,sub-012
40,160,0.75,0.34865000000000634,0.99375,0.2910000000000039,0.945,0.298349999999985,sub-013
40,160,0.75,0.49660000000001503,0.95625,0.3872,0.915,0.41014999999998736,sub-014
40,160,0.95,0.4072000000000173,1.0,0.3808500000000059,0.99,0.3897000000000048,sub-015
40,160,0.975,0.4658499999999961,1.0,0.34669999999999845,0.995,0.3627999999999929,sub-016
40,160,1.0,0.49415000000001896,1.0,0.501499999999977,1.0,0.49704999999999444,sub-017
40,160,0.825,0.38965000000001027,0.9875,0.35745000000000005,0.955,0.3652500000000032,sub-018
40,160,0.975,0.4165000000000063,0.99375,0.405300000000004,0.99,0.4057500000000118,sub-019
40,160,0.95,0.38575000000000514,0.99375,0.33254999999998347,0.985,0.3388000000000133,sub-020
40,160,0.875,0.4057500000000154,0.9875,0.36865000000000236,0.965,0.3744999999999976,sub-021
40,160,0.725,0.3979499999999945,0.98125,0.3393999999999977,0.93,0.34815000000001817,sub-022
40,160,0.925,0.5282999999999891,1.0,0.4643999999999977,0.985,0.49749999999999517,sub-023
40,160,0.875,0.42285000000001105,1.0,0.3672499999999985,0.975,0.375,sub-024
40,160,0.975,0.4980500000000081,1.0,0.43310000000001025,0.995,0.44820000000000704,sub-025
40,160,0.95,0.3769500000000079,1.0,0.33840000000000003,0.99,0.3457000000000079,sub-026
40,160,0.7,0.33594999999999686,0.94375,0.32030000000000314,0.895,0.3242000000000189,sub-027
40,160,0.925,0.4155499999999961,0.98125,0.42184999999999917,0.97,0.41849999999999454,sub-028
40,160,0.925,0.49174999999998903,0.9810126582278481,0.4150499999999999,0.9696969696969697,0.44575000000000387,sub-029
40,160,0.825,0.35650000000000404,1.0,0.27830000000000155,0.965,0.2826999999999913,sub-030
40,160,1.0,0.3940500000000009,0.9875,0.3409000000000191,0.99,0.35159999999999414,sub-031
40,160,0.875,0.43310000000002447,0.98125,0.3803499999999964,0.96,0.3818500000000107,sub-032
40,160,1.0,0.4159999999999897,0.99375,0.3988999999999834,0.995,0.4018999999999977,sub-033
40,160,0.9,0.48294999999997934,1.0,0.3901500000000002,0.98,0.40915000000000123,sub-034
40,160,0.525,0.2817500000000095,0.95625,0.30324999999999136,0.87,0.3012999999999906,sub-035
40,160,0.95,0.48630000000001417,0.9874213836477987,0.42579999999999885,0.9798994974874372,0.43070000000000164,sub-036
40,160,0.925,0.41995000000000005,0.9875,0.3647499999999937,0.975,0.37699999999999534,sub-037
40,160,0.85,0.42140000000000555,1.0,0.3270999999999731,0.97,0.34430000000001115,sub-038
40,160,0.95,0.5180499999999952,1.0,0.49560000000001736,0.99,0.5028999999999932,sub-039
40,160,0.95,0.4511499999999984,1.0,0.3686000000000025,0.99,0.3749999999999929,sub-040
